label,Text
art,"Deep in the darkest part of your heart
Every beat seems to be a trying slow start
Pride and victory have no place here
Reasonable thoughts are placed on the back burner
Every breath  difficult and heavy
Seasons all remain the same, cold, dark and gloomy
Stereotypical behaviour is quite apparent
In the quiet darkness you reside
On a deep running  slow train
Never, yes it never seems like you’ll come back again
Written:  Jan.18,2008
Living in a blissful, happy state,
Over the rainbow, my true love waits.
Vibrant, strong, yet tender to touch.
Elegant she stands, I love her so much.
Written:  Jan.12,2008"
art,"Lying beside you,  watching you sleep.
Owning the moment, I began to weep.
Vigor and zest you possess with flare.
Everlasting love together we’ll share.
Written:  Jan.12,2008
Loving you feels like the soft touch of velvet rain.
Over the hills we’ll walk together again.
Violet eyes, ruby lips, a beautiful smile.
Every step a blessing walking down the aisle.
Written:  Jan.12,2008"
art,"Love lives in the night sky.
Opening it’s arms, caressing you and I.
Veils and ribbons suspended above.
Every moment shows signs of our true love.
Written:  Jan.12,2008
Love creates a sensual stream, intensifying all romantic dreams.
Over  picturesque  landscapes, hills and mountains high.
Victoriously seen through a  keen mind's  eye.
Every electrifying moment captured inside.
Written:  Jan.14,2008"
art,"In the landscape of your mind, one has the ability to think clearly.
Never allowing deep, dark thoughts to penetrate.
Spirited, beautiful and heavenly thoughts tickle the senses.
Piercing through delicate walls,  giving strength to stand  tall.
Instead of accepting negative views from those of low self esteem.
Realize you are in charge of every thought held within.
Always start each day in a positive light.
Thinking, of God’s wondrous gifts, His beauty in sight.
In the quiet of the noon day sun,   a new day has begun.
On top of  mountains high, sitting calmly while  birds fly by.
Never leaving  your mind untouched by God’s beauty.
Always covered like a glove,  by the blood of the lamb.
Live, love, laugh stay protected, in the palm of His glorious hand.
Written:  Feb.9,2008
Pining for a much better quality of life,
Opened to great suffering and pain.
Violence and hate, society's distain.
Every step seems a step in the wrong direction.
Realizing each day is a losing battle.
Trampled by the powerful, frowned upon by middleclass.
Yet always wondering, how long will it last.
Written:  Jan.15,2008"
art,"Almost never found,
But gorgeous at first sight,
Seen from a point of view almost no one has,
Obscure to the common sight,
Luxurious to those who accomplish it,
Utterly perpetuous for those who conserve it,
Tender enough to appreciate and an,
Extraordinary experience.
Loving to the outer most passion,
Of no absolute return,
Vulnerable at most, but,
Eternal when at its best.
Placed in
Houses and
Offices for
News and
Every kind of gossip"
art,"Soft and confy inside
Hard on the feet sometimes
Often
Elevating one's
Status
Classified as a living thing,
each one is called a building block of life; the smallest
living biological structure found in all known
living organisms."
art,"Best left to each one's conscience,
Entertain it if you must,
The explanation's never clear,
To me it isn't either,
Except on rare occasions when,
Rust is sloughing off  of us.
Nothing is forever,
OR everything goes ' round again,
The explanation's never clear.
To me it isn't either,
Only now,  I realize.
As morons say those things,
Stupidity my well elect, our next acting,
King!
E v'ry grace in her combine,
L ove and truth and friendship join,
I n one source without reserve,
Z ealous all her friends to serve,
A nd diffuse true harmony.
H appy nymph of chaste repose,
U nsullied as the vernal rose.
G ay -- majestic -- yet serene,
H andsome, with a graceful mien;
E v'ry charm in her appear,
S he is lovely, chaste and fair."
art,"Everyone should care.
No one should ignore a world so
Vital and green;
Inviting and teeming with life. Mother earth
Revolves around our respect, how we take
Ownership of our actions; and
Never forget our inheritance. We must
Mind our responsibility and pass along
Every moment of beauty bestowed upon us;
Nurture a green future for our children, and
Try to preserve Mother Nature's gift to us all.
An acrostic (from the late Greek akróstichis, from ákros, 'top', and stíchos, 'verse')  is a poem or other form of writing in an alphabetic script, in which the first letter, syllable or word of each line, paragraph or other recurring feature in the text spells out a word or a message.
Far down South China Sea
Indigenous brave men and women lives
Loyal, friendly, fearless happy people
Ingenious and not to be outsmarted
Pearl of the orient no other else in Asia
Islands nurtured by Mother Nature and its wonders
Not to fear surrender its freedom and liberty
Only to die and ready to struggle to self-determination
Race to economic prosperity
Ace of democracy and ingenuity
Challenges to fight back in defense of its sovereignty
Echoes people power through out the world"
art,"F orever it flies over the halls of justice;
R evered as beloved symbol across the land
E very heart feels humbled by her anthem.
E ach pledge made beneath her liberty and
D ream fulfilled in her history is part of her glory.
O ver her adoring people she waves her colors,
M y country's flag from sea to shining sea.
Give me your patience, sister, while I frame
Exact in capitals your golden name;
Or sue the fair Apollo and he will
Rouse from his heavy slumber and instill
Great love in me for thee and Poesy.
Imagine not that greatest mastery
And kingdom over all the Realms of verse,
Nears more to heaven in aught, than when we nurse
And surety give to love and Brotherhood.
Anthropophagi in Othello's mood;
Ulysses storm'd and his enchanted belt
Glow with the Muse, but they are never felt
Unbosom'd so and so eternal made,
Such tender incense in their laurel shade
To all the regent sisters of the Nine
As this poor offering to you, sister mine.
Kind sister! aye, this third name says you are;
Enchanted has it been the Lord knows where;
And may it taste to you like good old wine,
Take you to real happiness and give
Sons, daughters and a home like honied hive."
art,"N one of us are who we think we are.
O nly those sheeple who follow blindly
N ecessitate great introspection, cruel judgement.
E veryone is on equal ground.
A ll fall short, soon evolve and are elevated.
R espect should be given to each man so that
E ach soul is allowed to grow and flourish;
L earn to be a part of the whole.
O nly those of limited vision see men perish
S tripped of beauty and angel wing;
T is only earthly eyes that envision such things.
Passion in your look
especially intense
tangible mermaid
unusually gifted
lure to the bard
intriguing being
ample of charm
Clamoring hush
lie in your soul
architect of words
rhyming with verve
keystone of love
ebullient and plain"
art,"Little maidens, when you look
On this little story-book,
Reading with attentive eye
Its enticing history,
Never think that hours of play
Are your only HOLIDAY,
And that in a HOUSE of joy
Lessons serve but to annoy:
If in any HOUSE you find
Children of a gentle mind,
Each the others pleasing ever--
Each the others vexing never--
Daily work and pastime daily
In their order taking gaily--
Then be very sure that they
Have a life of HOLIDAY.
h-healthy food
e-eat a lot
a-are you healthy
l-loving food
t-tapping your foot
h-you say ''healthy food''
y-yeah yeah yeah"
art,"Every decision that we make is never perfect,
the Drive to be perfect is a bold resolution.
while MOst often we think we are correct,
yet Unluckily something can go wrong.
its Not  the mistake we made that is at stake,
but the Decorum we practice is what counts most
for Only God is perfect and not us humans!
Earthquakes:
E-arth shudders on its hinge
A-ll experience that terrific punch
R-oads crack and traffic stops
T-remors rock and havoc wreaks
H-orror strikes and rubble heaps
Q-uest to save the trapped turns in vain
U-nder the rubble, men scream in pain
A-fter shocks and seismic waves,
K-illing thousands, the disaster leaves.
E-ngulfing gloom swallows the Earth
S-ky high dreams, shattered in death!
Ghost:
G-hastly noises heard around
H-aunted houses with thickets surround
O-ld castles where mysteries abound
S-tarved faces greatly confound
T-errible bats worse than hounds
Storm:
S-trong and swift the wind blows
T-wirling and twisting delicate blooms
O-rchards strewn with fruits- ripe n' raw
R-ain and thunder snarl and growl
M-aking the sea suddenly shriek and howl."
art,"Masterball, Ultraball, Superball, Pokeball
Ultimate Quest, yeah man, you gotta catch 'em all
Damn that Rival to hell, you betta beat him
Kick Elite Four ass, you're the champ if you defeat 'em.
If you are a pro, you catch the legendaries,
Pick a good starter, the rest of the team varies.
Slow and steady, level 'em up, and evolve them
Find Easter Eggs and puzzles and problems, and solve 'em
Under smashed rocks and Geodude and Krabby
Careful 'round Mawile and Crobat, or they'll bite ye.
Kingler's on beaches, they're the bitches of the sea,
In his Crabhammer you won't find me.
No, cause I'm on Moltres, king of the skies.
Grass guys ain't the only ones who see us and cry.
Strong as a Rhydon, quick as Pikachu,
Wings made o' fiyah, yeah they'll burn you too.
Evolvin? Hell no, he's already big as an ox:
Each Moltres breaks women with their super-sized c- Um. Beak...
Trees? Hell, watch him turn that shit into ash.
Burnin' so bright, you know he just used Flash.
Reppin HM 5, and many moves, it's hard to take him;
Only the acronymed wonder can break him.
R estoration of 'united' states
E very man had certain rights
V isionaries all who knew
O ld ways had to go. They
L ined up on battlefields
U niforms of blue and grey
T ook up the fight against own brothers
I nvoking battlecry, 'All men are free'.
O urs is a history of fighting for freedom
N ot diplomacy."
art,"S earching and
c ollecting data
i n many varied ways to
e xplore
n ature's
c hemistry and
e mpirically test the physical world around us.
J awaharlal  Nehru, the sparkling gem of India's diadem,
A though nurtured in a life of comfort and shelter,
W ended his way to the clarion call of freedom,
A nd his wealth, time and life dedicated at the Nation's  altar.
H onoured leader, the dynamic Premier of  Independent  India,
A chieved, with his concerted planning, progress and economic  regeneration.
R atna—Bharat Ratna—rightly was he decorated for his immense work and profound idea!
L ove for liberty without distinction of class, creed or country had he:
A malgamating many an international difference as a talented referee,
L iberated men's  minds from social oppression and cultural stagnation.
N ovember, the fourteenth, our beloved   Jawaharlal's  birthday,
E ar-marked by his fondness for Children as their Special Day;
H eralds the dawn of a new,  progressive, scientific and dynamic sway.
R emember we, this day our red-rosed  Chacha's principles five—
U nhesitatingly, our pledge to work for his cherished ideals today we revive."
art,"Adorable are women as mothers!
Detestable when they can kill children;
Obtainable when purchased for a sum;
Reputable when they can reach great heights;
Amicable are women as sisters;
Believable are women when good wives;
Lovable are women as grand-daughters;
Enviable are women as daughters.
Acceptable when pining for some love;
Remarkable when sacrificing lots;
Exaltable when rearing children fine.
Worshipable for keeping peace at home;
Observable when attention-seeking;
Manageable when husbands earn enough;
Excusable for love of ornaments;
Notable for patience exemplary.
Accessible to children in their needs;
Sensible when fathers become drunkards;
Memorable for timely good advice;
Objectionable when pride and lust engulfs;
Terrible when seeking revenge on one;
Horrible as cruel mothers-in-law;
Enjoyable in love-making / romance;
Reliable amidst all kinds of strife;
Salvageable when shown some kind of love!
Copyright by Dr John Celes 5-4-2009
Being with family is best part,
real world to spend meaningful life;
and it is when you feel at home...
to mingle with people you love.
Family is the basic unit
and the foundation of society.
making peace and unity at home,
is the secret of a progressive community.
life shall become worthwhile for all the people
yearning for a happy family is to make it happened."
art,"Happy Graduation Day to you!
At last you've completed this journey.
Preparing for a long time you've
Pursued what you've dreamed for and now
You are going on your way up
Greater things are waiting for you and
Really you are on your way now
And there's a more in the future for you to do and your
Dad and your mom must be very proud of you
Use your talents well and be the best you can be, remember
All that you have done to get where you're now
This is not the end but it's just the beginning for you so
Inspire others you meet on your way out to do the same and
Open the door of your heart and
Never quit dreaming but hold on tight to your hopes 'cause
Day after day there are more things to do and learn
And remember to be honest and true to you because...
You can make all your dreams come true one day too
Happy Graduation Day to you!
August 23,2009
Elizabeth it is in vain you say
'Love not' — thou sayest it in so sweet a way:
In vain those words from thee or L. E. L.
Zantippe's talents had enforced so well:
Ah! if that language from thy heart arise,
Breathe it less gently forth — and veil thine eyes.
Endymion, recollect, when Luna tried
To cure his love — was cured of all beside —
His folly — pride — and passion — for he died."
art,"Man of legendary talent who
inspires humanity to unite  and
congregates a million fans through
his magnetic songs that simplify
a thousand sentiments of humanity
exposing a multitude diversities
languishing  in  vague controversies
Just a human being who succumbed to
a lot of adversities in life just like anybody
continuing to survive  by  fighting  the odds
kicking ass to assert  certain  innate rights
so that freedom may prevail in own self
over and above giving joy to others
now has come to an end in death
""Are you deaf, Father William!"" the young man said,
""Did you hear what I told you just now?
""Excuse me for shouting! Don't waggle your head
""Like a blundering, sleepy old cow!
""A little maid dwelling in Wallington Town,
""Is my friend, so I beg to remark:
""Do you think she'd be pleased if a book were sent down
""Entitled 'The Hunt of the Snark?'""
""Pack it up in brown paper!"" the old man cried,
""And seal it with olive-and-dove.
""I command you to do it!"" he added with pride,
""Nor forget, my good fellow to send her beside
""Easter Greetings, and give her my love."""
