,Text,label
0," Group has signed contracts to buy 1.6 million tons a year of copper concentrate for the Mundra facility that is set to start operations next month. 

According to a report in Bloomberg, the facility’s – world’s largest single-location smelter for industrial metal – first 500,000 tons of capacity will be started next month, confirmed Adani Natural Resources CEO Vinay Prakash. That will eventually be expanded to 1 million tons by March 2029 in order to meet the projected demands for Indian copper by the end of the decade. 

As per the report, the conglomerate is now seeking resource security in critical minerals and resuming capital expenditure. Prakash told the news site that the Mundra plant will be a low-cost producer with higher metal recovery that will enable them to remain competitive in the market. The concentrate deals are a mix of short and long-term arrangements, he said. 

The $1.2 billion Mundra facility located in Gujarat is expected to reduce India's reliance on imports and support energy transition. The plant is projected to achieve a full-scale capacity of 1 million tonnes by FY29. 

Kutch Copper Ltd, an Adani Enterprises Ltd subsidiary, is establishing a greenfield copper refinery project for the production of refined copper. The first phase achieved financial closure in June 2022 through a syndicated club loan. 

Adani Group aspires to be a global leader in the copper business and the world’s largest copper smelting complex by 2030. India's per capita copper consumption, currently at 0.6 kg, is expected to double by 2030 due to the drive towards clean energy systems and the increasing penetration of electric vehicles. ",7
1,"Paytm crisis: Following the Reserve Bank of India’s (RBI’s) regulatory action against Paytm Payments Bank, its independent director Manju Agarwal reportedly stepped down. The RBI on January 31, stopped Paytm Payments Bank from onboarding new customers and asked them to stop their key banking services from February 29. 

According to a report in CNBC-TV18, Agarwal who was serving in the board since May 2021 resigned from the board with immediate effect on February 1. 

The RBI said on Thursday that the apex bank is trying to minimise any inconvenience to the customer. RBI Governor Shaktikanta Das said that they give sufficient time to entities such as Paytm to comply before they take any regulatory action. 

Governor Das also said that the central bank will come out with a list of frequently asked questions (FAQs) on fintechs to allay customer doubts. He said that bank takes supervisory action only when constructive engagement does not work. 

""Why should we act if an entity is compliant with regulation? We are a responsible regulator,"" said Governor Das.  

Meanwhile, Paytm founder Vijay Shekhar Sharma reportedly met RBI officials to discuss the regulatory action against the company’s payments bank unit. They met the officials to reportedly discuss the roadmap to address the regulatory concerns. 

The company has also reportedly asked for an extension of the February 29 deadline. Sharma also sought to clarify from RBI regarding transfer of licence for the wallets business and FASTag. However, no resolution or forward movement was decided. 

Following the RBI MPC meeting on Thursday, Paytm shares hit the lower circuit of 10 per cent. The regulatory action by RBI has wiped out more than 41 per cent value of the counter in February so far, tumbling to Rs 447.10 from its close at Rs 761 apiece on January 31. ",7
2,"Regulatory Intervention Spurs Reflection in Fintech Sector
The recent regulatory intervention in the fintech sector has prompted introspection among industry players. As regulatory scrutiny intensifies, stakeholders assess the implications for their operations and business models. The evolving regulatory framework necessitates a reevaluation of compliance measures and risk management practices. Amidst these developments, industry participants seek clarity on regulatory expectations and strive to align with evolving norms.",7
3,"Paytm Saga Reflects Regulatory Complexities in Fintech Sector
The unfolding saga surrounding Paytm Payments Bank sheds light on the regulatory complexities confronting the fintech sector. Regulatory actions against Paytm underscore the challenges faced by digital banking platforms in maintaining compliance with regulatory standards. As industry stakeholders assess the fallout from these developments, attention turns towards regulatory responses and their implications for the broader fintech ecosystem.",7
4,"Samsung vs. Apple: Battle Intensifies Over Smartphone Market Dominance

In the fiercely competitive world of smartphones, Samsung and Apple continue to vie for dominance, with tensions escalating between the tech giants. As both companies strive to outdo each other in innovation and features, consumers eagerly await the latest showdown in the ongoing battle for supremacy.",7
5,"Google vs. Microsoft: Tech Titans Lock Horns Over Cloud Computing Supremacy

In the rapidly growing cloud computing market, Google and Microsoft are engaged in a fierce battle for dominance. As businesses increasingly shift towards cloud-based solutions, the rivalry between these tech giants escalates, with each vying to outshine the other in terms of performance, reliability, and innovation.

Title: Tesla vs. Ford: Electric Vehicle Pioneers Clash Over Future of Automotive Industry

The rivalry between electric vehicle pioneer Tesla and traditional automaker Ford reaches new heights as they compete for market share in the rapidly evolving automotive industry. With both companies investing heavily in electric and autonomous technologies, the battle for supremacy intensifies, shaping the future of transportation.",7
6,"A little under one year. That’s the time it took for the Adani-Hindenburg matter to reach its conclusion in the Supreme Court—from January 24, 2023, the day the US-based short-seller Hindenburg Research released a report accusing the Indian conglomerate of stock manipulation and financial fraud.

On January 3, 2024, a three-judge bench of the Supreme Court, headed by Chief Justice of India D.Y. Chandrachud, dismissed requests for creating a special investigation team (SIT) or transferring the probe into the allegations levelled by Hindenburg against the Adani Group to the Central Bureau of Investigation (CBI). It reposed faith in capital markets regulator Securities and Exchange Board of India (Sebi).


But this issue is far from over. Sebi is still conducting a probe related to certain allegations made by the US-based entity.

Without a doubt, the past year has been the most tumultuous in the history of the Adani Group, whose business interests span sectors like infrastructure, green energy, cement and FMCG.

The impact of the Hindenburg report was such that the conglomerate’s listed entities shed around $150 billion (`12.41 lakh crore) in market capitalisation just a month following its release.

To be sure, the group has consistently denied all allegations, terming the report a “malicious combination of selective misinformation and stale, baseless and discredited allegations that have been tested and rejected by India’s highest courts”. But that did little to assuage investor concerns, as was evident from the beating the stocks received.


After the verdict, Adani Group Chairman Gautam Adani posted on X (formerly Twitter): “The…Supreme Court’s judgement shows that: Truth has prevailed… I am grateful to those who stood by us. Our humble contribution to India’s growth story will continue…”

The Supreme Court order marks an important milestone as it brings the curtains down on what was one of the most keenly-followed cases by investors—not surprising as Adani Group stocks were among the biggest wealth creators in 2022.


“In an age where every news piece is taken at face value, the recent impartial scrutiny by regulators and the judiciary regarding third-party allegations is reassuring,” says Makarand Joshi, Founder of MMJC & Associates, a corporate compliance firm.


“The Supreme Court decision allowing Sebi to continue with investigation on the allegations…marks a significant step toward factual discernment. [It] sets a precedent, guiding retail investors to make informed decisions… It’s a powerful message against those exploiting rumours, signalling a new era of cautious investment decisions,” he adds.

The focus is now on Sebi. Incidentally, the regulator’s image was already boosted by the Supreme Court-appointed Expert Committee’s view that there was no failure on Sebi’s part.

The watchdog, as part of its submissions to the apex court, has stated that it conducted 24 investigations in the matter and 22 of those—alleged violations of rules on related-party transactions, insider trading, stock price manipulation, and FPI investments, among others—have already concluded. The Supreme Court has given Sebi three months to conclude the two pending probes.

Market participants, meanwhile, feel the biggest overhang on the group has lifted and the recent movement in stock prices corroborates this.

“Whatever was expected from the Supreme Court has come. Other than giving a good conduct certificate nothing else is pending,” says Arun Kejriwal, a market veteran and Founder of Kejriwal Research & Investment Services.

Some of the Adani Group stocks, including Adani Enterprises, Adani Green Energy, Adani Ports and Special Economic Zone, Adani Power, and Adani Total Gas have more than doubled when compared to their lows touched last year post the Hindenburg report.


But many group companies—Adani Total Gas, Adani Wilmar, Adani Energy Solutions, Adani Enterprises, and Adani Green Energy—are yet to touch the highs or levels seen before the Hindenburg report was released.

Stocks aside, investors will keep a close watch on Sebi as it concludes the two pending investigations and gets final clarity on a matter that has been in the news for the past one year and has impacted the overall Indian stock market as well.

The ball is now in Sebi’s court.",7
7,"In the rapidly growing cloud computing market, Google and Microsoft are engaged in a fierce battle for dominance. As businesses increasingly shift towards cloud-based solutions, the rivalry between these tech giants escalates, with each vying to outshine the other in terms of performance, reliability, and innovation.",7
8,"While Ambani’s fortune hit a record high earlier this month, Adani’s is still about $50 billion below its 2022 peakGautam Adani becomes world's 12th richest person, rejoins $100 billion club after Hindenburg report
1 min read 08 Feb 2024, 07:22 AM ISTJoin us 
Livemint
Adani Group chairman Gautam Adani's net worth has risen to $100.7 billion, making him the 12th-richest person in the world. He has recovered $16.4 billion this year after allegations of market manipulation and fraud.
 Adani Group Chairperson Gautam Adani speaks during the Vibrant Gujarat Global Summit (File photo) (PTI)
Adani Group chairman Gautam Adani has returned to the $100 billion club after recovering much of his wealth following the US-based short-seller Hindenburg Research's attack in 2023.
According to the Bloomberg news agency, Adani's net worth rose to $100.7 billion on Wednesday, making him the 12th-richest person in the world. Adani has regained $16.4 billion this year, the news agency added.
PROMOTED

High Sugar Level up to 400? Don't Worry its Easily ManageableThe Care Lab|
Sponsored 

Shah Rukh Khan announced a business venture that impresses all Indianssupinnerate.media|
Sponsored 

TCS issues final warning to employees working from home, says reportLive Mint

The Best Term Plan for all Age Groups !HDFC Life Insurance|
Sponsored 

Indian banker in London loses over ₹1.2 crore to scamster he met on matrimonial siteLive Mint

Livspace: Best Interior Designers Company in IndiaLivspace|
Sponsored 

A stranger listened to me via my laptop mic. Now I do thisKaspersky|
Sponsored 

Mukesh Ambani announced an AI project available to all IndiansDigital World|
Sponsored 
  ",7
9,Title: Tesla vs. Ford: Electric Vehicle Pioneers Clash Over Future of Automotive Industry,7
